rank,lr,n_seeds,late_mean,late_sd,peak_mean,late_seeds
1,2e-5,3,2.83,0.09,4.10,3 3 3
1,5e-5,3,2.74,0.25,4.57,3 2 3
1,1e-4,3,3.96,0.32,5.37,4 4 4
1,2e-4,3,10.18,3.87,11.70,8 7 16
1,4e-4,3,25.27,1.97,27.87,28 25 23
2,2e-5,3,3.14,0.07,4.00,3 3 3
2,5e-5,3,3.12,0.24,4.33,3 3 3
2,1e-4,3,6.03,1.17,7.23,5 5 8
2,2e-4,3,14.84,3.20,16.67,13 12 19
2,4e-4,3,29.87,4.21,32.70,26 28 36
4,2e-5,3,2.94,0.09,4.23,3 3 3
4,5e-5,3,4.06,0.09,5.40,4 4 4
4,1e-4,3,12.85,3.56,14.87,9 12 18
4,2e-4,3,24.39,2.82,26.10,28 21 24
4,4e-4,3,40.20,2.34,45.63,38 39 43
8,2e-5,3,3.37,0.11,4.13,3 3 3
8,5e-5,3,6.53,1.54,7.93,5 6 9
8,1e-4,3,18.71,1.95,20.53,18 17 21
8,2e-4,3,34.45,7.41,37.53,33 26 44
8,4e-4,3,59.81,19.43,63.20,57 38 85
16,2e-5,3,4.16,0.06,5.03,4 4 4
16,5e-5,3,13.29,1.62,15.27,12 12 16
16,1e-4,3,27.76,2.17,30.20,30 25 28
16,2e-4,3,52.01,16.24,55.00,36 46 74
16,4e-4,3,77.13,11.05,81.53,63 78 90
32,2e-5,3,6.26,0.59,7.27,6 6 7
32,5e-5,3,21.73,1.98,24.87,23 19 24
32,1e-4,3,42.48,8.71,44.70,46 30 51
32,2e-4,3,66.40,14.49,70.50,49 65 85
32,4e-4,3,71.10,13.22,76.10,59 64 90
64,2e-5,3,13.29,1.37,15.17,12 12 15
64,5e-5,3,33.44,4.99,35.83,36 26 38
64,1e-4,6,50.32,16.04,54.97,40 34 81 44 41 62
64,2e-4,3,79.36,5.40,82.50,73 86 78
64,4e-4,3,52.13,3.94,56.57,49 58 49
128,2e-5,3,23.81,2.05,25.97,21 24 26
128,5e-5,3,48.83,12.08,52.37,49 34 63
128,1e-4,6,53.39,23.12,56.58,44 83 82 18 40 53
128,2e-4,3,43.14,11.30,47.80,31 40 58
128,4e-4,3,19.57,4.62,40.03,21 13 24
256,2e-5,3,40.86,8.27,43.20,30 50 42
256,5e-5,3,60.14,21.75,63.20,32 64 85
256,1e-4,6,52.13,17.32,58.72,55 69 74 24 37 55
256,2e-4,3,55.30,6.11,72.97,55 48 63
256,4e-4,3,6.83,2.58,13.07,8 9 3
